arxiv_id,title,year,authors_short,direction_tag
2605.23240,Signal Temporal Logic Motion Planning via Graphs of Convex Sets,2026,Yu Chen et al.,I_corridor_planning
2605.25010,Performance Comparison of Classical and Neural Sampling Algorithms for Robotic Navigation,2026,Hichem Cheriet et al.,L_learning_path_optimization
2605.28202,Natural Functional Gradients for Smooth Trajectory Optimization,2026,Kisang Park et al.,B_trajectory_optimization
2605.28362,Accelerating Robot Path Planning via Connectivity-Preserving Region Proposal Network,2026,Zhanzheng Ma et al.,J_homotopy_topology
2606.02677,Motion Planning in Dynamic Environments: A Survey from Classical to Modern Methods,2026,Zongyuan Shen et al.,R_surveys
2606.03512,SPADE: Sketch-guided Path Planning Augmented with Diffusion Experts,2026,Charbel Abi Hana et al.,L_learning_path_optimization
2606.06041,Sample-efficient Low-level Motion Planning for Robotic Manipulation Tasks via Zero-shot Transfer Learning,2026,Yuanzhi He et al.,Q_informed_sampling
2606.09719,Safe Polytope-in-Polytope Motion Planning and Control with Control Barrier Functions,2026,Alejandro Gonzalez-Garcia et al.,O_dense_forest_narrow_passage
2606.14794,Computing Smooth Geodesics under Two-Sided Curvature Bounds with Applications to Robotics and Image Analysis,2026,Da Chen et al.,A_path_smoothing
2606.16480,HOLO-MPPI: Multi-Scenario Motion Planning via Hierarchical Policy Optimization,2026,Youngjae Min et al.,J_homotopy_topology
2606.16780,DIFF-IPPO: Diffusion-Based Informative Path Planning with Open-Vocabulary Belief Maps,2026,Sausar Karaf et al.,L_learning_path_optimization
2606.18516,"Task Allocation and Motion Planning in Dynamic, Cluttered Environments via CBBA and Graphs of Convex Sets",2026,Matthew D. Osburn et al.,I_corridor_planning
2606.20495,Increasing Resilience of Continuum Robots via Motion Planning Algorithms,2026,Oxana Shamilyan et al.,J_homotopy_topology;M_multi_objective_planning
2606.22838,FPAS: Frontier-Based Path Planning with Adaptive Sampling for Large-Scale Unknown Environments,2026,Jinwoo Choi et al.,Q_informed_sampling
2501.06639,Enhancing Path Planning Performance through Image Representation Learning of High-Dimensional Configuration Spaces,2025,Jorge Ocampo Jimenez et al.,G_subgoal_optimization
2501.06904,From Simulation to Field: Learning Terrain Traversability for Real-World Deployment,2025,Fetullah Atas et al.,O_dense_forest_narrow_passage
2501.07343,Fast-Revisit Coverage Path Planning for Autonomous Mobile Patrol Robots Using Long-Range Sensor Information,2025,Srinivas Kachavarapu et al.,G_subgoal_optimization
2502.00114,Mobile Robot Navigation Using Hand-Drawn Maps: A Vision Language Model Approach,2025,Aaron Hao Tan et al.,G_subgoal_optimization
2502.01987,"Online Adaptive Traversability Estimation through Interaction for Unstructured, Densely Vegetated Environments",2025,Fabio A. Ruetz et al.,O_dense_forest_narrow_passage
2502.03540,Path Planning for Masked Diffusion Model Sampling,2025,Fred Zhangzhi Peng et al.,L_learning_path_optimization
2502.05462,Motion Planning of Cooperative Nonholonomic Mobile Manipulators,2025,Keshab Patra et al.,P_nonholonomic_constraints
2502.08697,Bilevel Learning for Bilevel Planning,2025,Bowen Li et al.,L_learning_path_optimization
2502.09556,Real-Time Fast Marching Tree for Mobile Robot Motion Planning in Dynamic Environments,2025,Jefferson Silveira et al.,D_asymptotically_optimal_sampling
2502.15961,IA-TIGRIS: An Incremental and Adaptive Sampling-Based Planner for Online Informative Path Planning,2025,Brady Moon et al.,Q_informed_sampling
2502.16932,DemoGen: Synthetic Demonstration Generation for Data-Efficient Visuomotor Policy Learning,2025,Zhengrong Xue et al.,C_elastic_band
2503.00583,Space-Time Graphs of Convex Sets for Multi-Robot Motion Planning,2025,Jingtao Tang et al.,I_corridor_planning
2503.07411,PER-DPP Sampling Framework and Its Application in Path Planning,2025,Junzhe Wang,M_multi_objective_planning;Q_informed_sampling
2503.07855,Evaluating Path Planning Strategies for Efficient Nitrate Sampling in Crop Rows,2025,Ruiji Liu et al.,Q_informed_sampling
2503.11072,A High-Speed Time-Optimal Trajectory Generation Strategy via a Two-layer Planning Model,2025,Haotian Tan et al.,B_trajectory_optimization
2503.13171,HybridGen: VLM-Guided Hybrid Planning for Scalable Data Generation of Imitation Learning,2025,Wensheng Wang et al.,L_learning_path_optimization
2503.16164,Asymptotically Optimal Path Planning With an Approximation of the Omniscient Set,2025,Jonáš Kříž et al.,D_asymptotically_optimal_sampling
2504.02492,Industrial Internet Robot Collaboration System and Edge Computing Optimization,2025,Haopeng Zhao et al.,P_nonholonomic_constraints
2504.03280,Dynamic Objective MPC for Motion Planning of Seamless Docking Maneuvers,2025,Oliver Schumann et al.,I_corridor_planning
2504.04598,B4P: Simultaneous Grasp and Motion Planning for Object Placement via Parallelized Bidirectional Forests and Path Repair,2025,Benjamin H. Leebron et al.,J_homotopy_topology
2504.06596,Overcoming Dynamic Environments: A Hybrid Approach to Motion Planning for Manipulators,2025,Ho Minh Quang Ngo et al.,F_hybrid_astar
2504.12616,Graph-based Path Planning with Dynamic Obstacle Avoidance for Autonomous Parking,2025,Farhad Nawaz et al.,F_hybrid_astar
2504.19072,Geometric Gait Optimization for Kinodynamic Systems Using a Lie Group Integrator,2025,Yanhao Yang et al.,P_nonholonomic_constraints
2505.03257,Model Predictive Fuzzy Control: A Hierarchical Multi-Agent Control Architecture for Outdoor Search-and-Rescue Robots,2025,Craig Maxwell et al.,M_multi_objective_planning
2505.05588,Deep Learning Warm Starts for Trajectory Optimization on the International Space Station,2025,Somrita Banerjee et al.,B_trajectory_optimization;L_learning_path_optimization
2505.07779,Multi-Agent Path Finding via Finite-Horizon Hierarchical Factorization,2025,Jiarui Li et al.,H_hierarchical_planning
2505.10355,pc-dbCBS: Kinodynamic Motion Planning of Physically-Coupled Robot Teams,2025,Khaled Wahba et al.,E_bounded_suboptimal_search
2505.10542,AORRTC: Almost-Surely Asymptotically Optimal Planning with RRT-Connect,2025,Tyler Wilson et al.,D_asymptotically_optimal_sampling
2505.15157,Cascaded Diffusion Models for Neural Motion Planning,2025,Mohit Sharma et al.,L_learning_path_optimization;N_path_repair
2505.19219,Where Paths Collide: A Comprehensive Survey of Classic and Learning-Based Multi-Agent Pathfinding,2025,Shiyue Wang et al.,R_surveys
2505.21968,Enhanced SIRRT*: A Structure-Aware RRT* for 2D Path Planning with Hybrid Smoothing and Bidirectional Rewiring,2025,Hyejeong Ryu,F_hybrid_astar
2505.24339,Imitation Learning-Based Path Generation for the Complex Assembly of Deformable Objects,2025,Yitaek Kim et al.,L_learning_path_optimization
2506.00351,Recasting Classical Motion Planning for Contact-Rich Manipulation,2025,Lin Yang et al.,J_homotopy_topology
2506.09914,From Theory to Practice: Advancing Multi-Robot Path Planning Algorithms and Applications,2025,Teng Guo,A_path_smoothing
2506.13421,Delayed Expansion AGT: Kinodynamic Planning with Application to Tractor-Trailer Parking,2025,Dongliang Zheng et al.,P_nonholonomic_constraints
2506.16748,A Scalable Post-Processing Pipeline for Large-Scale Free-Space Multi-Agent Path Planning with PiBT,2025,Arjo Chakravarty et al.,F_hybrid_astar;H_hierarchical_planning
2506.20314,Near Time-Optimal Hybrid Motion Planning for Timber Cranes,2025,Marc-Philip Ecker et al.,F_hybrid_astar
2507.10284,Prompt Informed Reinforcement Learning for Visual Coverage Path Planning,2025,Venkat Margapuri,L_learning_path_optimization
2507.15088,Search-Based Autonomous Vehicle Motion Planning Using Game Theory,2025,Pouya Panahandeh et al.,N_path_repair
2507.15469,The Emergence of Deep Reinforcement Learning for Path Planning,2025,Thanh Thi Nguyen et al.,R_surveys
2507.15710,Selective Densification for Rapid Motion Planning in High Dimensions with Narrow Passages,2025,Lu Huang et al.,I_corridor_planning;O_dense_forest_narrow_passage
2507.16233,GFM-Planner: Perception-Aware Trajectory Planning with Geometric Feature Metric,2025,Yue Lin et al.,G_subgoal_optimization
2507.17140,Multi-Objective Trajectory Planning for a Robotic Arm in Curtain Wall Installation,2025,Xiao Liu et al.,M_multi_objective_planning
2507.19831,Feeling the Force: A Nuanced Physics-based Traversability Sensor for Navigation in Unstructured Vegetation,2025,Zaar Khizar et al.,O_dense_forest_narrow_passage
2507.19860,Homotopy-aware Multi-agent Navigation via Distributed Model Predictive Control,2025,Haoze Dong et al.,J_homotopy_topology
2507.23350,Multi-Waypoint Path Planning and Motion Control for Non-holonomic Mobile Robots in Agricultural Applications,2025,Mahmoud Ghorab et al.,G_subgoal_optimization;K_dubins_reeds_shepp
2508.05668,"A Survey of LLM-based Deep Search Agents: Paradigm, Optimization, Evaluation, and Challenges",2025,Yunjia Xi et al.,R_surveys
2508.06722,Improved Obstacle Avoidance for Autonomous Robots with ORCA-FLC,2025,Justin London,C_elastic_band
2508.10203,Systematic Constraint Formulation and Collision-Free Trajectory Planning Using Space-Time Graphs of Convex Sets,2025,Matthew D. Osburn et al.,I_corridor_planning
2508.18627,Integration of Robot and Scene Kinematics for Sequential Mobile Manipulation Planning,2025,Ziyuan Jiao et al.,G_subgoal_optimization
2508.20884,Deep Fuzzy Optimization for Batch-Size and Nearest Neighbors in Optimal Robot Motion Planning,2025,Liding Zhang et al.,L_learning_path_optimization
2508.21549,Estimated Informed Anytime Search for Sampling-Based Planning via Adaptive Sampler,2025,Liding Zhang et al.,Q_informed_sampling
2508.21637,A-MHA*: Anytime Multi-Heuristic A*,2025,Ramkumar Natarajan et al.,E_bounded_suboptimal_search
2509.04950,Ground-Aware Octree-A* Hybrid Path Planning for Memory-Efficient 3D Navigation of Ground Vehicles,2025,Byeong-Il Ham et al.,F_hybrid_astar
2509.05345,INF-3DP: Implicit Neural Fields for Collision-Free Multi-Axis 3D Printing,2025,Jiasheng Qu et al.,L_learning_path_optimization
2509.06115,Hybrid A* Path Planning with Multi-Modal Motion Extension for Four-Wheel Steering Mobile Robots,2025,Runjiao Bao et al.,F_hybrid_astar;P_nonholonomic_constraints
2509.06682,An Adaptive Coverage Control Approach for Multiple Autonomous Off-road Vehicles in Dynamic Agricultural Fields,2025,Sajad Ahmadi et al.,O_dense_forest_narrow_passage
2509.07321,Performance Characterization of a Point-Cloud-Based Path Planner in Off-Road Terrain,2025,Casey D. Majhor et al.,O_dense_forest_narrow_passage
2509.08160,Diffusion-Guided Multi-Arm Motion Planning,2025,Viraj Parimi et al.,H_hierarchical_planning
2509.08521,FMT$^{x}$: An Efficient and Asymptotically Optimal Extension of the Fast Marching Tree for Dynamic Replanning,2025,Soheil Espahbodini Nia,D_asymptotically_optimal_sampling
2509.10349,Acetrans: An Autonomous Corridor-Based and Efficient UAV Suspended Transport System,2025,Weiyan Lu et al.,I_corridor_planning
2509.11240,CORB-Planner: Corridor as Observations for RL Planning in High-Speed Flight,2025,Yechen Zhang et al.,I_corridor_planning
2509.17340,AERO-MPPI: Anchor-Guided Ensemble Trajectory Optimization for Agile Mapless Drone Navigation,2025,Xin Chen et al.,J_homotopy_topology
2509.24143,A Novel Model for 3D Motion Planning for a Generalized Dubins Vehicle with Pitch and Yaw Rate Constraints,2025,Deepak Prakash Kumar et al.,K_dubins_reeds_shepp
2509.24995,Path Diffuser: Diffusion Model for Data-Driven Traffic Simulator,2025,Da Saem Lee et al.,L_learning_path_optimization
2510.02716,A $1000\times$ Faster LLM-enhanced Algorithm For Path Planning in Large-scale Grid Maps,2025,Junlin Zeng et al.,G_subgoal_optimization
2510.03547,Shape-Space Graphs: Fast and Collision-Free Path Planning for Soft Robots,2025,Carina Veil et al.,C_elastic_band
2510.03948,A Real-Time Framework for Intermediate Map Construction and Kinematically Feasible Off-Road Planning Without OSM,2025,Otobong Jerome et al.,O_dense_forest_narrow_passage
2510.12169,Hybrid Terrain-Aware Path Planning: Integrating VD-RRT* Exploration and VD-D* Lite Repair,2025,Akshay Naik et al.,F_hybrid_astar;O_dense_forest_narrow_passage;P_nonholonomic_constraints
2510.16500,Advancing Off-Road Autonomous Driving: The Large-Scale ORAD-3D Dataset and Comprehensive Benchmarks,2025,Chen Min et al.,O_dense_forest_narrow_passage
2510.19128,A Cross-Environment and Cross-Embodiment Path Planning Framework via a Conditional Diffusion Model,2025,Mehran Ghafarian Tamizi et al.,L_learning_path_optimization
2510.22740,Policies over Poses: Reinforcement Learning based Distributed Pose-Graph Optimization for Multi-Robot SLAM,2025,Sai Krishna Ghanta et al.,B_trajectory_optimization
2510.23824,Decentralized Multi-Agent Goal Assignment for Path Planning using Large Language Models,2025,Murad Ismayilov et al.,H_hierarchical_planning
2511.04180,PUL-SLAM: Path-Uncertainty Co-Optimization with Lightweight Stagnation Detection for Efficient Robotic Exploration,2025,Yizhen Yin et al.,A_path_smoothing
2511.07811,Virtual Traffic Lights for Multi-Robot Navigation: Decentralized Planning with Centralized Conflict Resolution,2025,Sagar Gupta et al.,H_hierarchical_planning
2511.11043,Autonomous Vehicle Path Planning by Searching With Differentiable Simulation,2025,Asen Nachkov et al.,L_learning_path_optimization
2511.12022,SBAMP: Sampling Based Adaptive Motion Planning,2025,Shreyas Raorane et al.,N_path_repair;Q_informed_sampling
2511.13048,Unidirectional-Road-Network-Based Global Path Planning for Cleaning Robots in Semi-Structured Environments,2025,Yong Li et al.,F_hybrid_astar
2511.15414,RRT*former: Environment-Aware Sampling-Based Motion Planning using Transformer,2025,Mingyang Feng et al.,D_asymptotically_optimal_sampling
2511.16844,A*-based Temporal Logic Path Planning with User Preferences on Relaxed Task Satisfaction,2025,Disha Kamale et al.,E_bounded_suboptimal_search
2511.18183,Off-Road Navigation via Implicit Neural Representation of Terrain Traversability,2025,Yixuan Jia et al.,O_dense_forest_narrow_passage
2511.18525,Splatblox: Traversability-Aware Gaussian Splatting for Outdoor Robot Navigation,2025,Samarth Chopra et al.,O_dense_forest_narrow_passage
2511.20156,Map-World: Masked Action planning and Path-Integral World Model for Autonomous Driving,2025,Bin Hu et al.,G_subgoal_optimization;J_homotopy_topology
2511.20394,Improved adaptive wind driven optimization algorithm for real-time path planning,2025,Shiqian Liu et al.,A_path_smoothing
2511.22338,Nonholonomic Narrow Dead-End Escape with Deep Reinforcement Learning,2025,Denghan Xiong et al.,P_nonholonomic_constraints
2512.06754,Model-Less Feedback Control of Space-based Continuum Manipulators using Backbone Tension Optimization,2025,Shrreya Rajneesh et al.,C_elastic_band
2512.07303,Efficient Computation of a Continuous Topological Model of the Configuration Space of Tethered Mobile Robots,2025,Gianpietro Battocletti et al.,J_homotopy_topology
2512.10099,"Push Smarter, Not Harder: Hierarchical RL-Diffusion Policy for Efficient Nonprehensile Manipulation",2025,Steven Caro et al.,G_subgoal_optimization
2512.11571,Cross-Entropy Optimization of Physically Grounded Task and Motion Plans,2025,Andreu Matoses Gimenez et al.,Q_informed_sampling
2512.13183,Efficient Path Generation with Curvature Guarantees by Mollification,2025,Alfredo González-Calvin et al.,A_path_smoothing
2401.09819,PPNet: A Two-Stage Neural Network for End-to-end Path Planning,2024,Qinglong Meng et al.,G_subgoal_optimization
2401.17500,LeTO: Learning Constrained Visuomotor Policy with Differentiable Trajectory Optimization,2024,Zhengtong Xu et al.,L_learning_path_optimization
2402.00537,Robust Path Planning via Learning from Demonstrations for Robotic Catheters in Deformable Environments,2024,Zhen Li et al.,L_learning_path_optimization
2402.01254,Neural Trajectory Model: Implicit Neural Trajectory Representation for Trajectories Generation,2024,Zihan Yu et al.,L_learning_path_optimization
2402.04730,Model Predictive Trajectory Optimization With Dynamically Changing Waypoints for Serial Manipulators,2024,Florian Beck et al.,G_subgoal_optimization
2402.05421,DiffTORI: Differentiable Trajectory Optimization for Deep Reinforcement and Imitation Learning,2024,Weikang Wan et al.,B_trajectory_optimization;L_learning_path_optimization
2402.11768,Targeted Parallelization of Conflict-Based Search for Multi-Robot Path Planning,2024,Teng Guo et al.,E_bounded_suboptimal_search;H_hierarchical_planning
2402.14933,Path Planning based on 2D Object Bounding-box,2024,Yanliang Huang et al.,L_learning_path_optimization
2403.01450,Collision-Free Robot Navigation in Crowded Environments using Learning based Convex Model Predictive Control,2024,Zhuanglei Wen et al.,C_elastic_band
2403.02751,Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps,2024,Timothy Chen et al.,I_corridor_planning
2403.07638,Online Adaptation of Sampling-Based Motion Planning with Inaccurate Models,2024,Marco Faroni et al.,Q_informed_sampling
2403.10745,iDb-RRT: Sampling-based Kinodynamic Motion Planning with Motion Primitives and Trajectory Optimization,2024,Joaquim Ortiz-Haro et al.,O_dense_forest_narrow_passage
2403.11298,Multi-Sample Long Range Path Planning under Sensing Uncertainty for Off-Road Autonomous Driving,2024,Matt Schmittle et al.,O_dense_forest_narrow_passage
2403.11552,LLM3:Large Language Model-based Task and Motion Planning with Motion Failure Reasoning,2024,Shu Wang et al.,N_path_repair
2403.12725,Some geometric and topological data-driven methods in robot motion path planning,2024,Boris Goldfarb,J_homotopy_topology
2403.15369,OceanPlan: Hierarchical Planning and Replanning for Natural Language AUV Piloting in Large-scale Unexplored Ocean Environments,2024,Ruochu Yang et al.,H_hierarchical_planning
2404.05343,Non-linear Model Predictive Control for Multi-task GPS-free Autonomous Navigation in Vineyards,2024,Matteo Sperti et al.,O_dense_forest_narrow_passage
2404.05581,Design and Simulation of Time-energy Optimal Anti-swing Trajectory Planner for Autonomous Tower Cranes,2024,Souravik Dutta et al.,M_multi_objective_planning
2404.06974,Deep Reinforcement Learning for Mobile Robot Path Planning,2024,Hao Liu et al.,F_hybrid_astar
2404.07889,On the Performance of Jerk-Constrained Time-Optimal Trajectory Planning for Industrial Manipulators,2024,Jee-eun Lee et al.,B_trajectory_optimization
2404.18687,Socially Adaptive Path Planning Based on Generative Adversarial Network,2024,Yao Wang et al.,J_homotopy_topology
2405.03411,Greedy Heuristics for Sampling-Based Motion Planning in High-Dimensional State Spaces,2024,Phone Thiha Kyaw et al.,D_asymptotically_optimal_sampling
2405.06290,Path Planning and Motion Control for Accurate Positioning of Car-like Robots,2024,Jin Dai et al.,K_dubins_reeds_shepp
2405.20858,CSDO: Enhancing Efficiency and Success in Large-Scale Multi-Vehicle Trajectory Planning,2024,Yibin Yang et al.,J_homotopy_topology
2406.02858,TSPDiffuser: Diffusion Models as Learned Samplers for Traveling Salesperson Path Planning Problems,2024,Ryo Yonetani,L_learning_path_optimization
2406.02885,Homotopic Path Set Planning for Robot Manipulation and Navigation,2024,Jing Huang et al.,J_homotopy_topology
2406.02916,Real-time Motion Planning for autonomous vehicles in dynamic environments,2024,Mohammad Dehghani Tezerjani et al.,C_elastic_band
2406.05575,A Survey on Hybrid Motion Planning Methods for Automated Driving Systems,2024,MReza Alipour Sormoli et al.,R_surveys
2406.09631,Towards Optimizing a Convex Cover of Collision-Free Space for Trajectory Generation,2024,Yuwei Wu et al.,I_corridor_planning
2407.02933,Online Time-Informed Kinodynamic Motion Planning of Nonlinear Systems,2024,Fei Meng et al.,Q_informed_sampling
2407.05300,Space Adaptive Search for Nonholonomic Mobile Robots Path Planning,2024,Qi Wang,K_dubins_reeds_shepp
2407.05779,Smooth Path Planning Using a Gaussian Process Regression Map for Mobile Robot Navigation,2024,Quentin Serdel et al.,A_path_smoothing
2407.05979,Smoothing of Headland Path Edges and Headland-to-Mainfield Lane Transitions Based on a Spatial Domain Transformation and Linear Programming,2024,Mogens Plessen,A_path_smoothing
2407.10660,HPHS: Hierarchical Planning based on Hybrid Frontier Sampling for Unknown Environments Exploration,2024,Shijun Long et al.,F_hybrid_astar
2407.17392,Sampling-Based Hierarchical Trajectory Planning for Formation Flight,2024,Qingzhao Liu et al.,I_corridor_planning
2408.03131,Stochastic Trajectory Optimization for Robotic Skill Acquisition From a Suboptimal Demonstration,2024,Chenlin Ming et al.,B_trajectory_optimization
2408.12831,SIMPNet: Spatial-Informed Motion Planning Network,2024,Davood Soleymanzadeh et al.,Q_informed_sampling
2409.03920,Asymptotically-Optimal Multi-Query Path Planning for a Polygonal Robot,2024,Duo Zhang et al.,H_hierarchical_planning
2409.05289,Developing Path Planning with Behavioral Cloning and Proximal Policy Optimization for Path-Tracking and Static Obstacle Nudging,2024,Mingyan Zhou et al.,G_subgoal_optimization;L_learning_path_optimization
2409.05864,Neural MP: A Generalist Neural Motion Planner,2024,Murtaza Dalal et al.,J_homotopy_topology
2409.10647,Safe Interval Motion Planning for Quadrotors in Dynamic Environments,2024,Songhao Huang et al.,C_elastic_band;I_corridor_planning
2409.14491,Work Smarter Not Harder: Simple Imitation Learning with CS-PIBT Outperforms Large Scale Imitation Learning for MAPF,2024,Rishi Veerapaneni et al.,L_learning_path_optimization
2409.15671,Autonomous Hiking Trail Navigation via Semantic Segmentation and Geometric Analysis,2024,Camndon Reed et al.,O_dense_forest_narrow_passage
2409.17995,Joint Localization and Planning using Diffusion,2024,L. Lao Beyer et al.,L_learning_path_optimization
2409.18253,UAV-Assisted Self-Supervised Terrain Awareness for Off-Road Navigation,2024,Jean-Michel Fortin et al.,O_dense_forest_narrow_passage
2409.19543,Multi-Query Shortest-Path Problem in Graphs of Convex Sets,2024,Savva Morozov et al.,I_corridor_planning
2410.01925,Topological mapping for traversability-aware long-range navigation in off-road terrain,2024,Jean-François Tremblay et al.,O_dense_forest_narrow_passage
2410.03370,Collision-Aware Traversability Analysis for Autonomous Vehicles in the Context of Agricultural Robotics,2024,Florian Philippe et al.,O_dense_forest_narrow_passage
2410.05079,HE-Nav: A High-Performance and Efficient Navigation System for Aerial-Ground Robots in Cluttered Environments,2024,Junming Wang et al.,O_dense_forest_narrow_passage
